User/ID, SceneNR, Blink, Green/Blue, TotalTime, TimeBeforeBlink, SceneTime, POI, DiffFromPOI, AverageTotalDiff
6, Timeline13_BE (UnityEngine.PlayableDirector), 13, False, 129,2428, 7,07254981296137, 40,833333333332, 0, 7,07254981296137, -31,75056
8, Timeline1 (UnityEngine.PlayableDirector), 1, False, 6,001472, 6,0014726947993, 56,316666666666, 0, 6,0014726947993, 6,001472
8, Timeline2 (UnityEngine.PlayableDirector), 2, True, 13,97765, 7,97617408353835, 117,366666666666, 66, -58,0238259164616, -26,01118
8, Timeline3_BE (UnityEngine.PlayableDirector), 3, False, 19,9893, 6,01165359187871, 110,133333333332, 58, -51,9883464081213, -34,67023
8, Timeline4_OBE (UnityEngine.PlayableDirector), 4, False, 26,71576, 6,72645719628781, 194,049999999999, 34, -27,2735428037122, -32,82106
8, Timeline5_BE (UnityEngine.PlayableDirector), 5, False, 33,59298, 6,87722119875252, 256,133333333332, 62, -55,1227788012475, -37,2814
8, Timeline6_BE (UnityEngine.PlayableDirector), 6, False, 41,31873, 7,72574571054429, 90,316666666666, 38, -30,2742542894557, -36,11354
8, Timeline7_OBE (UnityEngine.PlayableDirector), 7, False, 51,40923, 10,0905074067414, 75,183333333332, 20, -9,90949259325862, -32,37011
8, Timeline8_BE (UnityEngine.PlayableDirector), 8, False, 57,42029, 6,0110577987507, 243,599999999999, 69, -62,9889422012493, -36,19746
8, Timeline9_BE (UnityEngine.PlayableDirector), 9, False, 64,41511, 6,99481678474694, 109,491067597455, 57, -50,0051832152531, -37,73166
8, Timeline10_OBE (UnityEngine.PlayableDirector), 10, False, 71,95763, 7,5425155935809, 200,416666666666, 49, -41,4574844064191, -38,10424
8, Timeline11_BE (UnityEngine.PlayableDirector), 11, False, 77,96875, 6,01112230401486, 83,299999999999, 44, -37,9888776959851, -38,09375
8, Timeline12_BE (UnityEngine.PlayableDirector), 12, False, 84,23076, 6,2620088942349, 130,483333333332, 45, -38,7379911057651, -38,14744
8, Timeline13_BE (UnityEngine.PlayableDirector), 13, False, 90,24252, 6,01175919361413, 40,833333333332, 0, 6,01175919361413, -34,75058
10, Timeline1 (UnityEngine.PlayableDirector), 1, False, 10,85313, 10,8531346190721, 56,316666666666, 0, 10,8531346190721, 10,85313
